Predicted\Actual,C Major,C# Major,D Major,Eb Major,E Major,F Major,F# Major,G Major,Ab Major,A Major,Bb Major,B Major,C Minor,C# Minor,D Minor,Eb Minor,E Minor,F Minor,F# Minor,G Minor,Ab Minor,A Minor,Bb Minor,B Minor,C Diminished,C# Diminished,D Diminished,Eb Diminished,E Diminished,F Diminished,F# Diminished,G Diminished,Ab Diminished,A Diminished,Bb Diminished,B Diminished,C Augmented,C# Augmented,D Augmented,Eb Augmented,E Augmented,F Augmented,F# Augmented,G Augmented,Ab Augmented,A Augmented,Bb Augmented,B Augmented,C Sus2,C# Sus2,D Sus2,Eb Sus2,E Sus2,F Sus2,F# Sus2,G Sus2,Ab Sus2,A Sus2,Bb Sus2,B Sus2,C Sus4,C# Sus4,D Sus4,Eb Sus4,E Sus4,F Sus4,F# Sus4,G Sus4,Ab Sus4,A Sus4,Bb Sus4,B Sus4,C Major 7th,C# Major 7th,D Major 7th,Eb Major 7th,E Major 7th,F Major 7th,F# Major 7th,G Major 7th,Ab Major 7th,A Major 7th,Bb Major 7th,B Major 7th,C Minor 7th,C# Minor 7th,D Minor 7th,Eb Minor 7th,E Minor 7th,F Minor 7th,F# Minor 7th,G Minor 7th,Ab Minor 7th,A Minor 7th,Bb Minor 7th,B Minor 7th,C Dominant 7th,C# Dominant 7th,D Dominant 7th,Eb Dominant 7th,E Dominant 7th,F Dominant 7th,F# Dominant 7th,G Dominant 7th,Ab Dominant 7th,A Dominant 7th,Bb Dominant 7th,B Dominant 7th
C Major,279.0,0.0,0.0,3.0,6.0,51.0,0.0,0.0,3.0,0.0,0.0,0.0,237.0,15.0,0.0,0.0,39.0,33.0,0.0,0.0,0.0,0.0,3.0,0.0,18.0,24.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,30.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,333.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,6.0,0.0,0.0,6.0,69.0,6.0,0.0,0.0,3.0,0.0,93.0,0.0,12.0,0.0,0.0,3.0,288.0,3.0,0.0,0.0,9.0,0.0,0.0,3.0,36.0,6.0,0.0,0.0,12.0,24.0,0.0,3.0,30.0,3.0,0.0,0.0,3.0,126.0,0.0,0.0,171.0,12.0,0.0,6.0,0.0,18.0,3.0,0.0,0.0,36.0,30.0,0.0
C# Major,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,33.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,18.0,0.0,0.0,6.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,72.0,0.0,0.0,12.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,99.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0
D Major,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,3.0,9.0,21.0,0.0,0.0,63.0,0.0,9.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,9.0,216.0,6.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,231.0,3.0,9.0,0.0,0.0,84.0,51.0,12.0,0.0,3.0,0.0,30.0,0.0,3.0,57.0,0.0,0.0,18.0,93.0,30.0,12.0,15.0,0.0,69.0,18.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,3.0,6.0,21.0,3.0,15.0,3.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,3.0,3.0,15.0,0.0,0.0,0.0,9.0,0.0,0.0,21.0
Eb Major,0.0,0.0,0.0,9.0,0.0,6.0,0.0,24.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,12.0,0.0,3.0,0.0,0.0
E Major,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F Major,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,27.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,51.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,153.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,3.0,3.0,0.0,0.0,6.0,0.0,3.0,12.0,0.0,0.0,0.0,21.0,54.0,0.0,0.0,0.0,0.0,0.0
F# Major,0.0,0.0,168.0,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,39.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,6.0,6.0,3.0,0.0,51.0,0.0,0.0,0.0,0.0,27.0,0.0,3.0,0.0,0.0,0.0,0.0,33.0,6.0,0.0,0.0,0.0,33.0,0.0,9.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,81.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,150.0,0.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,6.0
G Major,0.0,0.0,0.0,15.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,54.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,3.0,0.0
Ab Major,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,30.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,108.0,0.0,0.0,0.0
A Major,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,30.0,3.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,3.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
